id,name,brand,category,tagline,description,basePrice,sizes,sizeUpcharges,colors
tshirt,2000 오리지널 티셔츠,길단,데일리 웨어,부드럽고 톡톡한 20수 코마사 원단,이중 봉제로 늘어남을 방지한 고품질 기본 면 티셔츠입니다.,18000,"S, M, L, XL, 2XL, 3XL","2XL:2000, 3XL:2000","코발트 블루:#0052ff:/images/tshirt.png, 화이트:#ffffff:/images/tshirt.png, 블랙:#000000:/images/tshirt.png, 차콜:#3f3f46:/images/tshirt.png"
hoodie,9500 헤비웨이트 후드티,길단,굿즈/라이프스타일,묵직한 950g 기모 안감 후드티셔츠,탄탄한 시보리와 이중 봉제로 늘어남을 방지한 보온성이 뛰어난 기모 후드티입니다.,39000,"S, M, L, XL, 2XL, 3XL","2XL:2500, 3XL:3000","코발트 블루:#0052ff:/images/hoodie.png, 화이트:#ffffff:/images/hoodie.png, 블랙:#000000:/images/hoodie.png, 차콜:#3f3f46:/images/hoodie.png"
sweatshirt,S700 리버스위브 맨투맨,챔피온,데일리 웨어,클래식한 짜임새의 고중량 스웨트셔츠,측면 패널 수축을 방지하는 특허받은 리버스 위브 기술이 적용된 스웨트셔츠입니다.,45000,"S, M, L, XL, 2XL",2XL:2000,"그레이:#d1d5db:/images/hoodie.png, 블랙:#000000:/images/hoodie.png, 네이비:#1e3a8a:/images/hoodie.png"
aaa-tshirt,1301 클래식 무지 티셔츠,트리플에이,데일리 웨어,"스트릿 패션의 교과서, 6온스 헤비코튼",거칠고 탄탄한 질감으로 스트릿 매니아층의 사랑을 받아온 트리플에이 1301 제품입니다.,15000,"S, M, L, XL, 2XL, 3XL","2XL:2000, 3XL:2000","화이트:#ffffff:/images/tshirt.png, 블랙:#000000:/images/tshirt.png, 차콜:#3f3f46:/images/tshirt.png"
cap,HQ-01 레트로 코튼 볼캡,하이퍼콰이엇,굿즈/라이프스타일,빈티지 워싱 마감의 프리미엄 야구모자,황동 조절 버클이 장착되어 사이즈 조절이 용이하며 전면 자수 인쇄 시 뛰어난 입체감을 선사합니다.,22000,FREE,,"블랙:#000000:/images/tshirt.png, 베이지:#f5f5dc:/images/tshirt.png, 그린:#15803d:/images/tshirt.png"
ecobag,HQ-02 캔버스 데일리 에코백,하이퍼콰이엇,굿즈/라이프스타일,튼튼한 10수 캔버스 도톰 에코백,바닥 폭이 깊어 넉넉 수납공간을 자랑하며 도톰한 캔버스 원단으로 쳐짐이 덜합니다.,12000,FREE,,"아이보리:#fafaf9:/images/tshirt.png, 블랙:#000000:/images/tshirt.png"
printstar-cvt,00085-CVT 5.6온스 베이직 티셔츠,프린트스타,데일리 웨어,전 세계에서 가장 많이 팔리는 기성 무지 티셔츠,"5.6온스의 도톰하고 탄탄한 17수 코마사 원단으로 제작되어 비침이 적고 형태 안정성이 뛰어납니다. 36가지의 압도적인 컬러 라인업을 제공하며, 수축 방지 가공으로 세탁 후 변형을 최소화했습니다. 단체복 및 브랜드 굿즈 제작용으로 부동의 1위 제품입니다.",9900,"XS, S, M, L, XL, 2XL, 3XL, 4XL","2XL:1000, 3XL:1500, 4XL:2000","오트밀:#e2dbcd:/images/products/printstar-cvt/00085-CVT-039_M.jpg, 모스그레이:#859897:/images/products/printstar-cvt/00085-CVT-424_M.jpg, 스모크옐로우:#d2b786:/images/products/printstar-cvt/00085-CVT-213_M.jpg, 코코아브라운:#5a4540:/images/products/printstar-cvt/00085-CVT-207_M.jpg, 애시드블루:#98adc2:/images/products/printstar-cvt/00085-CVT-426_M.jpg, 라이트세이지:#9cb8a7:/images/products/printstar-cvt/00085-CVT-423_M.jpg, 틸그린:#134e4d:/images/products/printstar-cvt/00085-CVT-206_M.jpg, 화이트:#ffffff:/images/products/printstar-cvt/00085-CVT-001_M.jpg, 모쿠 그레이:#c6c8c9:/images/products/printstar-cvt/00085-CVT-003_M.jpg, 레드:#e6193c:/images/products/printstar-cvt/00085-CVT-010_M.jpg, 네이비:#0f1d35:/images/products/printstar-cvt/00085-CVT-031_M.jpg, 블랙:#1a1a1a:/images/products/printstar-cvt/00085-CVT-005_M.jpg, 아이보리:#faf8f0:/images/products/printstar-cvt/00085-CVT-073_M.jpg, 애쉬:#e1e4e6:/images/products/printstar-cvt/00085-CVT-044_M.jpg, 실버 그레이:#b8b6b9:/images/products/printstar-cvt/00085-CVT-153_M.jpg, 라이트 퍼플:#c3b2db:/images/products/printstar-cvt/00085-CVT-188_M.jpg, 퍼플:#48339b:/images/products/printstar-cvt/00085-CVT-014_M.jpg, 데님:#536881:/images/products/printstar-cvt/00085-CVT-109_M.jpg, 차콜:#494b52:/images/products/printstar-cvt/00085-CVT-129_M.jpg, 라이트 블루:#a2dbe7:/images/products/printstar-cvt/00085-CVT-133_M.jpg, 터코이즈:#00a2cc:/images/products/printstar-cvt/00085-CVT-034_M.jpg, 재팬 블루:#1b4aa6:/images/products/printstar-cvt/00085-CVT-171_M.jpg, 로얄 블루:#054cb9:/images/products/printstar-cvt/00085-CVT-032_M.jpg, 아이스 그린:#9be0cd:/images/products/printstar-cvt/00085-CVT-195_M.jpg, 그린:#00874e:/images/products/printstar-cvt/00085-CVT-025_M.jpg, 올리브:#565d38:/images/products/printstar-cvt/00085-CVT-128_M.jpg, 라이트 핑크:#ffccd5:/images/products/printstar-cvt/00085-CVT-132_M.jpg, 핑크:#ec839e:/images/products/printstar-cvt/00085-CVT-011_M.jpg, 핫핑크:#e6006f:/images/products/printstar-cvt/00085-CVT-146_M.jpg, 라이트 옐로우:#fff4ab:/images/products/printstar-cvt/00085-CVT-134_M.jpg, 데이지:#ffcc00:/images/products/printstar-cvt/00085-CVT-165_M.jpg, 오렌지:#ff5f00:/images/products/printstar-cvt/00085-CVT-015_M.jpg, 버건디:#731630:/images/products/printstar-cvt/00085-CVT-112_M.jpg, 인디고:#182a47:/images/products/printstar-cvt/00085-CVT-097_M.jpg, 아미그린:#4a533c:/images/products/printstar-cvt/00085-CVT-037_M.jpg, 라이트 베이지:#eddabf:/images/products/printstar-cvt/00095-CVE-455_M.jpg"
